nb,Parasite,Host,site,PSR,Type,,,,,,
2425,Trypanosoma minasense,Alouatta belzebul,BRAZIL,,Protozoa,0,0,0,0,1,0
2423,Ascaris elongata,Alouatta belzebul,BRAZIL,,Helminth,0,0,0,1,0,0
249,Plasmodium simium,Alouatta belzebul,Pará,0,Protozoa,0,0,0,0,1,0
4756,Trypanosoma rangeli,Alouatta belzebul,Pará,0,Protozoa,0,0,0,0,1,0
2088,Flavivirus Yellow Fever,Alouatta belzebul,Belterra,1,Virus,0,0,0,0,1,0
2089,Alphavirus Mayaro virus,Alouatta belzebul,Belterra,1,Virus,0,0,0,0,1,0
248,Plasmodium brasilianum,Alouatta belzebul,Pará,0,Protozoa,0,0,0,0,1,0
2260,Plasmodium brasilianum,Alouatta belzebul,SOUTH AMERICA,0.139,Protozoa,0,0,0,0,1,0
2424,Plasmodium brasilianum,Alouatta belzebul,BRAZIL,0,Protozoa,0,0,0,0,1,0
2234,Alphavirus Mayaro virus,Alouatta belzebul,SOUTH AMERICA,,Virus,0,0,0,0,1,0
2426,Trypanosoma mycetae,Alouatta belzebul,BRAZIL,,Protozoa,0,0,0,0,1,0
4580,Trypanosoma mycetae,Alouatta belzebul,BRAZIL,,Protozoa,0,0,0,0,1,0
4738,Trypanosoma mycetae,Alouatta belzebul,Pará,0.059,Protozoa,0,0,0,0,1,0
4765,Trypanosoma devei,Alouatta belzebul,Pará,0,Protozoa,0,0,0,0,1,0
2391,Mathevotaenia megastoma,Alouatta belzebul,BRAZIL,,Helminth,0,0,0,0,0,1
4760,Trypanosoma diasi,Alouatta belzebul,Pará,0,Protozoa,0,0,0,0,1,0
4773,Endotrypanum schaudinni,Alouatta belzebul,Pará,0,Protozoa,0,0,0,0,1,0
2439,Trypanoxyuris minutus,Alouatta caraya,ARGENTINA,0.216,Helminth,1,0,0,1,0,0
2440,Trypanoxyuris minutus,Alouatta caraya,ARGENTINA,0.034,Helminth,1,0,0,1,0,0
3055,Trypanoxyuris minutus,Alouatta caraya,Bella Vista,0.216,Helminth,1,0,0,1,0,0
4871,Trypanoxyuris minutus,Alouatta caraya,Bella Vista,0.24,Helminth,1,0,0,1,0,0
5023,Trypanoxyuris minutus,Alouatta caraya,Bella Vista,0.18,Helminth,1,0,0,1,0,0
5147,Trypanoxyuris minutus,Alouatta caraya,Bella Vista,0.2,Helminth,1,0,0,1,0,0
5264,Trypanoxyuris minutus,Alouatta caraya,Bella Vista,0.14,Helminth,1,0,0,1,0,0
2444,Giardia intestinalis,Alouatta caraya,BRAZIL,,Protozoa,0,0,0,1,0,0
9241,Hepatovirus Hepatitis A,Alouatta caraya,Porto Rico County,0,Virus,1,0,0,1,0,0
6464,Flavivirus Yellow Fever,Alouatta caraya,Guira-Oga,,Virus,0,0,0,0,1,0
6465,Flavivirus Yellow Fever,Alouatta caraya,El Piñalito,,Virus,0,0,0,0,1,0
6467,Flavivirus Yellow Fever,Alouatta caraya,El Soberbio,,Virus,0,0,0,0,1,0
6468,Flavivirus Yellow Fever,Alouatta caraya,Garupa,,Virus,0,0,0,0,1,0
2441,Balantidium aragaoi,Alouatta caraya,BRAZIL,,Protozoa,1,0,0,1,0,0
8826,Leptospira sp.,Alouatta caraya,Sao Paulo,0,Bacteria,0,0,0,0,0,0
8286,Toxoplasma gondii,Alouatta caraya,Parana,0.176,Protozoa,0,0,0,0,0,1
8827,Toxoplasma gondii,Alouatta caraya,Sao Paulo,0.75,Protozoa,0,0,0,0,0,1
10390,Toxoplasma gondii,Alouatta caraya,Sao Paulo,0.25,Protozoa,0,0,0,0,0,1
10391,Toxoplasma gondii,Alouatta caraya,Sao Paulo,0,Protozoa,0,0,0,0,0,1
10415,Toxoplasma gondii,Alouatta caraya,Sao Paulo,0.2,Protozoa,0,0,0,0,0,1
335,Trypanosoma minasense,Alouatta caraya,ARGENTINA,,Protozoa,0,0,0,0,1,0
2176,Trypanosoma minasense,Alouatta caraya,BRAZIL,,Protozoa,0,0,0,0,1,0
6306,Cryptosporidium sp.,Alouatta caraya,Isla Brasilera,0,Protozoa,1,,,1,,
6308,Cryptosporidium sp.,Alouatta caraya,Cerrito and San Cayetano,0,Protozoa,1,,,1,,
8606,Plasmodium vivax,Alouatta caraya,Rondonia,0,Protozoa,0,0,0,0,1,0
8567,Plasmodium falciparum,Alouatta caraya,Rondonia,0,Protozoa,0,0,0,0,1,0
2448,Trypanosoma cruzi,Alouatta caraya,ARGENTINA,0.034,Protozoa,0,0,0,0,1,0
2449,Trypanosoma cruzi,Alouatta caraya,BRAZIL,1,Protozoa,0,0,0,0,1,0
4583,Trypanosoma cruzi,Alouatta caraya,Franca,,Protozoa,0,0,0,0,1,0
6302,Giardia sp.,Alouatta caraya,Isla Brasilera,0.567,Protozoa,0,0,0,1,0,0
6304,Giardia sp.,Alouatta caraya,Cerrito and San Cayetano,0.4,Protozoa,0,0,0,1,0,0
254,Plasmodium simium,Alouatta caraya,Amazonas,0,Protozoa,0,0,0,0,1,0
256,Plasmodium simium,Alouatta caraya,Roraima,1,Protozoa,0,0,0,0,1,0
258,Plasmodium simium,Alouatta caraya,Parana,0,Protozoa,0,0,0,0,1,0
261,Plasmodium simium,Alouatta caraya,Mato Grosso,0,Protozoa,0,0,0,0,1,0
8608,Plasmodium simium,Alouatta caraya,Rondonia,0,Protozoa,0,0,0,0,1,0
8162,Flavivirus Yellow Fever,Alouatta caraya,Rio Grande do Sul,,Virus,0,0,0,0,1,0
2443,Entamoeba sp.,Alouatta caraya,BRAZIL,,Protozoa,0,0,0,0,0,0
253,Plasmodium brasilianum,Alouatta caraya,Amazonas,0.13,Protozoa,0,0,0,0,1,0
255,Plasmodium brasilianum,Alouatta caraya,Roraima,1,Protozoa,0,0,0,0,1,0
257,Plasmodium brasilianum,Alouatta caraya,Parana,0,Protozoa,0,0,0,0,1,0
259,Plasmodium brasilianum,Alouatta caraya,Mato Grosso,0,Protozoa,0,0,0,0,1,0
1769,Plasmodium brasilianum,Alouatta caraya,SOUTH AMERICA,,Protozoa,0,0,0,0,1,0
2445,Plasmodium brasilianum,Alouatta caraya,BRAZIL,,Protozoa,0,0,0,0,1,0
2798,Plasmodium brasilianum,Alouatta caraya,Balbina,0.32,Protozoa,0,0,0,0,1,0
8566,Plasmodium brasilianum,Alouatta caraya,Rondonia,0,Protozoa,0,0,0,0,1,0
2438,Longistriata dubia,Alouatta caraya,BRAZIL,,Helminth,0,0,0,1,0,0
8825,Brucella sp.,Alouatta caraya,Sao Paulo,0,Bacteria,0,0,0,0,0,0
7446,Raillietina demerariensis,Alouatta caraya,BRAZIL,,Helminth,0,0,0,0,0,1
2431,Bertiella mucronata,Alouatta caraya,ARGENTINA,0.072,Helminth,0,0,0,0,0,1
2432,Bertiella mucronata,Alouatta caraya,ARGENTINA,0.069,Helminth,0,0,0,0,0,1
3054,Bertiella mucronata,Alouatta caraya,Bella Vista,0.072,Helminth,0,0,0,0,0,1
4870,Bertiella mucronata,Alouatta caraya,Bella Vista,0.04,Helminth,0,0,0,0,0,1
5022,Bertiella mucronata,Alouatta caraya,Bella Vista,0.12,Helminth,0,0,0,0,0,1
5146,Bertiella mucronata,Alouatta caraya,Bella Vista,0.1,Helminth,0,0,0,0,0,1
5263,Bertiella mucronata,Alouatta caraya,Bella Vista,0.02,Helminth,0,0,0,0,0,1
8236,Bertiella mucronata,Alouatta caraya,Isla Brasilera,0.071,Helminth,0,0,0,0,0,1
2446,Retortamonas intestinalis,Alouatta caraya,BRAZIL,,Protozoa,1,0,0,1,0,0
756,Trypanosoma mycetae,Alouatta caraya,BRAZIL,,Protozoa,0,0,0,0,1,0
2450,Trypanosoma mycetae,Alouatta caraya,ARGENTINA,,Protozoa,0,0,0,0,1,0
857,Trypanoxyuris callithricis,Alouatta caraya,Riachuelo River,0.98,Helminth,1,0,0,1,0,0
2447,Trichomonas sp.,Alouatta caraya,BRAZIL,,Protozoa,0,0,0,0,0,0
2434,Mathevotaenia megastoma,Alouatta caraya,BRAZIL,,Helminth,0,0,0,0,0,1
10286,Orthobunyavirus Caraparu orthobunyavirus,Alouatta caraya,Tocantins,,Virus,0,0,0,0,1,0
4581,Trypanosoma sp.,Alouatta caraya,ARGENTINA,,Protozoa,0,0,0,0,1,0
4582,Trypanosoma sp.,Alouatta caraya,BRAZIL,,Protozoa,0,0,0,0,1,0
9252,Flavivirus St. Louis encephalitis,Alouatta caraya,Porto Rico County,0.087,Virus,0,0,0,0,1,0
9253,Flavivirus St. Louis encephalitis,Alouatta caraya,Porto Rico County,0.15,Virus,0,0,0,0,1,0
9760,Flavivirus St. Louis encephalitis,Alouatta caraya,Porto Rico County,0.152,Virus,0,0,0,0,1,0
2456,Trypanoxyuris minutus,Alouatta guariba,VENEZUELA,,Helminth,1,0,0,1,0,0
2454,Parabronema bonnei,Alouatta guariba,VENEZUELA,,Helminth,0,0,0,0,1,0
6466,Flavivirus Yellow Fever,Alouatta guariba,El Piñalito,,Virus,0,0,0,0,1,0
752,Trypanoxyuris brachytelesi,Alouatta guariba,Caratinga,0,Helminth,1,0,0,1,0,0
2177,Trypanosoma minasense,Alouatta guariba,BRAZIL,,Protozoa,0,0,0,0,1,0
3733,Plasmodium sp.,Alouatta guariba,Sooretama,0,Protozoa,0,0,0,0,1,0
3736,Plasmodium sp.,Alouatta guariba,Joinville,0.46,Protozoa,0,0,0,0,1,0
3737,Plasmodium sp.,Alouatta guariba,Campo Alegre,0.43,Protozoa,0,0,0,0,1,0
3738,Plasmodium sp.,Alouatta guariba,Guaiba,0.6,Protozoa,0,0,0,0,1,0
10416,Plasmodium sp.,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
751,Strongyloides cebus,Alouatta guariba,Caratinga,0,Helminth,0,0,0,1,0,0
10417,Plasmodium vivax,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
10422,Plasmodium vivax,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
10425,Plasmodium vivax,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
10421,Plasmodium falciparum,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
10423,Plasmodium falciparum,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
10427,Plasmodium falciparum,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
30,Plasmodium simium,Alouatta guariba,Rio Grande Do Sul,,Protozoa,0,0,0,0,1,0
31,Plasmodium simium,Alouatta guariba,Santa Catarina,,Protozoa,0,0,0,0,1,0
32,Plasmodium simium,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
228,Plasmodium simium,Alouatta guariba,Espirito Santo,0,Protozoa,0,0,0,0,1,0
230,Plasmodium simium,Alouatta guariba,Sao Paulo,0.29,Protozoa,0,0,0,0,1,0
232,Plasmodium simium,Alouatta guariba,Santa Catarina,0.15,Protozoa,0,0,0,0,1,0
247,Plasmodium simium,Alouatta guariba,Rio Grande do Sul,0.13,Protozoa,0,0,0,0,1,0
1767,Plasmodium simium,Alouatta guariba,Espirito Santo,,Protozoa,0,0,0,0,1,0
1972,Plasmodium simium,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
3942,Flavivirus Yellow Fever,Alouatta guariba,Ilheus,0,Virus,0,0,0,0,1,0
8163,Flavivirus Yellow Fever,Alouatta guariba,Rio Grande do Sul,,Virus,0,0,0,0,1,0
755,Graphidiodes berlai,Alouatta guariba,Caratinga,0,Helminth,0,0,0,0,0,1
227,Plasmodium brasilianum,Alouatta guariba,Espirito Santo,0.87,Protozoa,0,0,0,0,1,0
229,Plasmodium brasilianum,Alouatta guariba,Sao Paulo,0.34,Protozoa,0,0,0,0,1,0
231,Plasmodium brasilianum,Alouatta guariba,Santa Catarina,0.18,Protozoa,0,0,0,0,1,0
233,Plasmodium brasilianum,Alouatta guariba,Rio Grande do Sul,0.08,Protozoa,0,0,0,0,1,0
1766,Plasmodium brasilianum,Alouatta guariba,SOUTH AMERICA,,Protozoa,0,0,0,0,1,0
1971,Plasmodium brasilianum,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
2453,Dipetalonema gracile,Alouatta guariba,VENEZUELA,,Helminth,0,0,0,0,1,0
2458,Trypanosoma mycetae,Alouatta guariba,BRAZIL,,Protozoa,0,0,0,0,1,0
4584,Trypanosoma sp.,Alouatta guariba,BRAZIL,,Protozoa,0,0,0,0,1,0
